detector,descriptor,keypoints,detector-duration,descriptor-duration,matches
akaze,sift,1363,64.8299,16.1945,163
akaze,sift,1331,66.5786,16.829,173
akaze,sift,1357,66.2659,16.4235,175
akaze,sift,1331,67.1245,16.3684,175
harris,brief,286,8.59377,0.149273,51
harris,brief,349,9.92042,0.495659,41
harris,brief,356,10.3816,0.177956,63
harris,brief,521,9.48995,0.229975,58
harris,brief,2611,35.7581,0.480847,85
harris,brief,200,10.0012,0.442981,321
harris,brief,806,13.3934,0.264125,38
harris,brief,572,14.4277,0.495688,136
harris,brief,1471,17.03,0.32247,96
akaze,orb,1327,92.3263,2.02557,162
akaze,orb,1311,56.5498,1.34504,157
akaze,orb,1351,68.6674,1.89758,159
akaze,orb,1360,64.5658,1.9189,154
akaze,orb,1347,58.9252,1.2794,162
akaze,orb,1363,48.4594,1.30673,163
akaze,orb,1331,63.8774,1.94161,173
akaze,orb,1357,73.6078,1.91224,175
akaze,orb,1331,51.0595,1.31924,175
orb,brief,500,3.40496,0.206849,91
orb,brief,500,3.62304,0.245711,102
orb,brief,500,10.7156,0.870192,106
orb,brief,500,7.29004,0.654913,113
orb,brief,500,4.99499,0.268302,109
orb,brief,500,6.77907,0.310593,124
orb,brief,500,6.36791,0.397517,129
orb,brief,500,5.47472,0.354523,127
orb,brief,500,7.25214,0.359001,124
akaze,brisk,1327,49.6905,0.848402,162
akaze,brisk,1311,53.9191,1.31503,157
akaze,brisk,1351,49.9751,0.808525,159
akaze,brisk,1360,66.689,0.858437,154
akaze,brisk,1347,50.7245,1.18677,162
akaze,brisk,1363,53.6017,0.866319,163
akaze,brisk,1331,48.5435,0.928253,173
akaze,brisk,1357,47.0497,0.915167,175
akaze,brisk,1331,47.3436,0.903189,175
shitomasi,freak,1301,5.86036,12.5437,127
shitomasi,freak,1361,10.1401,14.5869,120
shitomasi,freak,1358,10.917,13.1432,123
shitomasi,freak,1333,11.2355,13.8963,120
shitomasi,freak,1284,10.7761,12.0362,120
